subset_mask,heads,size,n,correct,acc,ba,rescue,harm,delta_acc,delta_ba
143,0|1|2|3|7,5,631,436,0.6909667194928685,0.6802563763710849,6,3,0.004754358161648153,0.0011497290868243137
144,4|7,2,631,424,0.6719492868462758,0.6674904189242765,1,10,-0.014263074484944571,-0.011616228359984104
145,0|4|7,3,631,429,0.6798732171156894,0.6748513281353244,0,4,-0.006339144215530945,-0.004255319148936176
146,1|4|7,3,631,432,0.6846275752773375,0.6780428174970266,0,1,-0.0015847860538827918,-0.0010638297872340718
147,0|1|4|7,4,631,434,0.687797147385103,0.6781287167966169,4,3,0.0015847860538826808,-0.000977930487643719
148,2|4|7,3,631,432,0.6846275752773375,0.6780428174970266,2,3,-0.0015847860538827918,-0.0010638297872340718
149,0|2|4|7,4,631,434,0.687797147385103,0.6801704770714947,2,1,0.0015847860538826808,0.0010638297872340718
150,1|2|4|7,4,631,434,0.687797147385103,0.6801704770714947,1,0,0.0015847860538826808,0.0010638297872340718
151,0|1|2|4|7,5,631,435,0.6893819334389857,0.6791925465838509,4,2,0.0031695721077653616,8.58992995902419e-05
152,3|4|7,3,631,425,0.6735340729001584,0.6685542487115106,1,9,-0.01267828843106189,-0.010552398572750032
153,0|3|4|7,4,631,433,0.6862123613312203,0.6791066472842606,1,1,0.0,0.0
154,1|3|4|7,4,631,432,0.6846275752773375,0.6780428174970266,0,1,-0.0015847860538827918,-0.0010638297872340718
155,0|1|3|4|7,5,631,435,0.6893819334389857,0.6812343068587288,3,1,0.0031695721077653616,0.0021276595744681437
156,2|3|4|7,4,631,428,0.6782884310618067,0.6717457380732126,2,7,-0.007923930269413626,-0.007360909211048039
157,0|2|3|4|7,5,631,436,0.6909667194928685,0.6822981366459627,3,0,0.004754358161648153,0.0031914893617021045
158,1|2|3|4|7,5,631,433,0.6862123613312203,0.6770648870093828,2,2,0.0,-0.0020417602748777908
159,0|1|2|3|4|7,6,631,437,0.6925515055467512,0.6833619664331968,4,0,0.006339144215530834,0.004255319148936176
160,5|7,2,631,422,0.6687797147385103,0.6674045196246862,1,12,-0.017432646592710044,-0.011702127659574457
161,0|5|7,3,631,430,0.6814580031695721,0.6759151579225585,0,3,-0.004754358161648264,-0.0031914893617021045
162,1|5|7,3,631,425,0.6735340729001584,0.6705960089863883,1,9,-0.01267828843106189,-0.008510638297872353
163,0|1|5|7,4,631,432,0.6846275752773375,0.6760010572221489,2,3,-0.0015847860538827918,-0.0031055900621117516
164,2|5|7,3,631,429,0.6798732171156894,0.6748513281353244,3,7,-0.006339144215530945,-0.004255319148936176
165,0|2|5|7,4,631,433,0.6862123613312203,0.6791066472842606,1,1,0.0,0.0
166,1|2|5|7,4,631,430,0.6814580031695721,0.6759151579225585,1,4,-0.004754358161648264,-0.0031914893617021045
167,0|1|2|5|7,5,631,435,0.6893819334389857,0.6812343068587288,3,1,0.0031695721077653616,0.0021276595744681437
168,3|5|7,3,631,421,0.6671949286846276,0.6663406898374521,1,13,-0.019017432646592725,-0.012765957446808529
169,0|3|5|7,4,631,429,0.6798732171156894,0.6748513281353244,0,4,-0.006339144215530945,-0.004255319148936176
170,1|3|5|7,4,631,428,0.6782884310618067,0.6737874983480905,0,5,-0.007923930269413626,-0.005319148936170137
171,0|1|3|5|7,5,631,430,0.6814580031695721,0.6759151579225585,1,4,-0.004754358161648264,-0.0031914893617021045
172,2|3|5|7,4,631,426,0.6751188589540412,0.6696180784987446,2,9,-0.011093502377179099,-0.009488568785516072
173,0|2|3|5|7,5,631,431,0.6830427892234548,0.6769789877097925,1,3,-0.0031695721077654726,-0.0021276595744681437
174,1|2|3|5|7,5,631,430,0.6814580031695721,0.6759151579225585,1,4,-0.004754358161648264,-0.0031914893617021045
175,0|1|2|3|5|7,6,631,433,0.6862123613312203,0.6791066472842606,3,3,0.0,0.0
176,4|5|7,3,631,424,0.6719492868462758,0.6695321791991542,0,9,-0.014263074484944571,-0.009574468085106425
177,0|4|5|7,4,631,430,0.6814580031695721,0.6759151579225585,1,4,-0.004754358161648264,-0.0031914893617021045
178,1|4|5|7,4,631,432,0.6846275752773375,0.6780428174970266,1,2,-0.0015847860538827918,-0.0010638297872340718
179,0|1|4|5|7,5,631,432,0.6846275752773375,0.6760010572221489,2,3,-0.0015847860538827918,-0.0031055900621117516
180,2|4|5|7,4,631,430,0.6814580031695721,0.6759151579225585,0,3,-0.004754358161648264,-0.0031914893617021045
181,0|2|4|5|7,5,631,431,0.6830427892234548,0.6769789877097925,0,2,-0.0031695721077654726,-0.0021276595744681437
182,1|2|4|5|7,5,631,434,0.687797147385103,0.6801704770714947,2,1,0.0015847860538826808,0.0010638297872340718
183,0|1|2|4|5|7,6,631,435,0.6893819334389857,0.6812343068587288,3,1,0.0031695721077653616,0.0021276595744681437
184,3|4|5|7,4,631,426,0.6751188589540412,0.6716598387736223,0,7,-0.011093502377179099,-0.007446808510638281
185,0|3|4|5|7,5,631,432,0.6846275752773375,0.6780428174970266,0,1,-0.0015847860538827918,-0.0010638297872340718
186,1|3|4|5|7,5,631,431,0.6830427892234548,0.6769789877097925,0,2,-0.0031695721077654726,-0.0021276595744681437
187,0|1|3|4|5|7,6,631,435,0.6893819334389857,0.6812343068587288,3,1,0.0031695721077653616,0.0021276595744681437
188,2|3|4|5|7,5,631,429,0.6798732171156894,0.6748513281353244,0,4,-0.006339144215530945,-0.004255319148936176
189,0|2|3|4|5|7,6,631,433,0.6862123613312203,0.6791066472842606,0,0,0.0,0.0
190,1|2|3|4|5|7,6,631,432,0.6846275752773375,0.6780428174970266,0,1,-0.0015847860538827918,-0.0010638297872340718
191,0|1|2|3|4|5|7,7,631,434,0.687797147385103,0.6801704770714947,2,1,0.0015847860538826808,0.0010638297872340718
192,6|7,2,631,421,0.6671949286846276,0.6622571692876966,5,17,-0.019017432646592725,-0.016849477996564
193,0|6|7,3,631,429,0.6798732171156894,0.6728095678604467,2,6,-0.006339144215530945,-0.006297079423813967
194,1|6|7,3,631,429,0.6798732171156894,0.6728095678604467,3,7,-0.006339144215530945,-0.006297079423813967
195,0|1|6|7,4,631,433,0.6862123613312203,0.6791066472842606,1,1,0.0,0.0
196,2|6|7,3,631,425,0.6735340729001584,0.6665124884366327,4,12,-0.01267828843106189,-0.012594158847627934
197,0|2|6|7,4,631,430,0.6814580031695721,0.671831637372803,2,5,-0.004754358161648264,-0.007275009911457575
198,1|2|6|7,4,631,431,0.6830427892234548,0.672895467160037,3,5,-0.0031695721077654726,-0.006211180124223614
199,0|1|2|6|7,5,631,434,0.687797147385103,0.6781287167966169,3,2,0.0015847860538826808,-0.000977930487643719
200,3|6|7,3,631,419,0.6640253565768621,0.6580877494383508,3,17,-0.022187004754358197,-0.021018897845909823
201,0|3|6|7,4,631,424,0.6719492868462758,0.6654486586493987,2,11,-0.014263074484944571,-0.013657988634861895
202,1|3|6|7,4,631,424,0.6719492868462758,0.6654486586493987,3,12,-0.014263074484944571,-0.013657988634861895
203,0|1|3|6|7,5,631,434,0.687797147385103,0.6781287167966169,4,3,0.0015847860538826808,-0.000977930487643719
204,2|3|6|7,4,631,421,0.6671949286846276,0.6622571692876966,3,15,-0.019017432646592725,-0.016849477996564
205,0|2|3|6|7,5,631,430,0.6814580031695721,0.671831637372803,4,7,-0.004754358161648264,-0.007275009911457575
206,1|2|3|6|7,5,631,427,0.6767036450079239,0.6686401480111008,4,10,-0.009508716323296418,-0.01046649927315979
207,0|1|2|3|6|7,6,631,435,0.6893819334389857,0.6791925465838509,5,3,0.0031695721077653616,8.58992995902419e-05
208,4|6|7,3,631,425,0.6735340729001584,0.6685542487115106,1,9,-0.01267828843106189,-0.010552398572750032
209,0|4|6|7,4,631,426,0.6751188589540412,0.6696180784987446,0,7,-0.011093502377179099,-0.009488568785516072
210,1|4|6|7,4,631,431,0.6830427892234548,0.6749372274349148,1,3,-0.0031695721077654726,-0.0041694198493458234
211,0|1|4|6|7,5,631,433,0.6862123613312203,0.6770648870093828,1,1,0.0,-0.0020417602748777908
212,2|4|6|7,4,631,428,0.6782884310618067,0.6717457380732126,2,7,-0.007923930269413626,-0.007360909211048039
213,0|2|4|6|7,5,631,432,0.6846275752773375,0.6780428174970266,2,3,-0.0015847860538827918,-0.0010638297872340718
214,1|2|4|6|7,5,631,434,0.687797147385103,0.6801704770714947,2,1,0.0015847860538826808,0.0010638297872340718
215,0|1|2|4|6|7,6,631,435,0.6893819334389857,0.6812343068587288,2,0,0.0031695721077653616,0.0021276595744681437
216,3|4|6|7,4,631,424,0.6719492868462758,0.6654486586493987,2,11,-0.014263074484944571,-0.013657988634861895
217,0|3|4|6|7,5,631,429,0.6798732171156894,0.6748513281353244,1,5,-0.006339144215530945,-0.004255319148936176
218,1|3|4|6|7,5,631,431,0.6830427892234548,0.6749372274349148,2,4,-0.0031695721077654726,-0.0041694198493458234
219,0|1|3|4|6|7,6,631,434,0.687797147385103,0.6801704770714947,1,0,0.0015847860538826808,0.0010638297872340718
220,2|3|4|6|7,5,631,427,0.6767036450079239,0.6686401480111008,2,8,-0.009508716323296418,-0.01046649927315979
221,0|2|3|4|6|7,6,631,431,0.6830427892234548,0.6749372274349148,2,4,-0.0031695721077654726,-0.0041694198493458234
222,1|2|3|4|6|7,6,631,431,0.6830427892234548,0.6749372274349148,3,5,-0.0031695721077654726,-0.0041694198493458234
223,0|1|2|3|4|6|7,7,631,434,0.687797147385103,0.6781287167966169,2,1,0.0015847860538826808,-0.000977930487643719
224,5|6|7,3,631,423,0.6703645007923931,0.6664265891370424,2,12,-0.015847860538827252,-0.012680058147218176
225,0|5|6|7,4,631,428,0.6782884310618067,0.6737874983480905,0,5,-0.007923930269413626,-0.005319148936170137
226,1|5|6|7,4,631,427,0.6767036450079239,0.6727236685608564,2,8,-0.009508716323296418,-0.006382978723404209
