fold,pseudo_target,intervention,seed,changed,delta_BA
Fujairah,Shanghai,permute_D2,20260920,0,0.0
Fujairah,Shanghai,permute_D2,20260921,0,0.0
Fujairah,Shanghai,permute_D2,20260922,0,0.0
Fujairah,Shanghai,permute_D2,20260923,0,0.0
Fujairah,Shanghai,permute_D2,20260924,0,0.0
Fujairah,Shanghai,permute_D2,20260925,0,0.0
Fujairah,Shanghai,permute_D2,20260926,0,0.0
Fujairah,Shanghai,permute_D2,20260927,0,0.0
Fujairah,Shanghai,permute_D2,20260928,0,0.0
Fujairah,Shanghai,permute_D2,20260929,0,0.0
Fujairah,Shanghai,permute_D2,20260930,0,0.0
Fujairah,Shanghai,permute_D2,20260931,0,0.0
Fujairah,Shanghai,permute_D2,20260932,0,0.0
Fujairah,Shanghai,permute_D2,20260933,0,0.0
Fujairah,Shanghai,permute_D2,20260934,0,0.0
Fujairah,Shanghai,permute_D2,20260935,0,0.0
Fujairah,Shanghai,permute_D2,20260936,0,0.0
Fujairah,Shanghai,permute_D2,20260937,0,0.0
Fujairah,Shanghai,permute_D2,20260938,0,0.0
Fujairah,Shanghai,permute_D2,20260939,0,0.0
Fujairah,Shanghai,permute_D3,20260920,22695,-0.0040459878077045985
Fujairah,Shanghai,permute_D3,20260921,22666,-0.002088000585694416
Fujairah,Shanghai,permute_D3,20260922,22632,0.0018234968048277955
Fujairah,Shanghai,permute_D3,20260923,22708,0.0017840096653073956
Fujairah,Shanghai,permute_D3,20260924,22773,-0.0022498459009656635
Fujairah,Shanghai,permute_D3,20260925,22642,-0.00307928838128696
Fujairah,Shanghai,permute_D3,20260926,22690,-0.0017995933202495928
Fujairah,Shanghai,permute_D3,20260927,22611,-0.0022651731459110702
Fujairah,Shanghai,permute_D3,20260928,22739,-0.002724943260853596
Fujairah,Shanghai,permute_D3,20260929,22657,-0.00663037453066001
Fujairah,Shanghai,permute_D3,20260930,22686,0.001544350663612748
Fujairah,Shanghai,permute_D3,20260931,22676,0.00488745794116946
Fujairah,Shanghai,permute_D3,20260932,22629,0.0017122620995998483
Fujairah,Shanghai,permute_D3,20260933,22670,-0.007674887643500994
Fujairah,Shanghai,permute_D3,20260934,22618,-0.003749652075250909
Fujairah,Shanghai,permute_D3,20260935,22814,-0.0008167299425810293
Fujairah,Shanghai,permute_D3,20260936,22774,-0.00207848305146785
Fujairah,Shanghai,permute_D3,20260937,22754,0.004431139239737647
Fujairah,Shanghai,permute_D3,20260938,22716,-0.004151156392216804
Fujairah,Shanghai,permute_D3,20260939,22753,-0.004515019046876734
Fujairah,Shanghai,permute_joint,20260920,23835,-0.016285479468138186
Fujairah,Shanghai,permute_joint,20260921,23852,-0.020436892270351892
Fujairah,Shanghai,permute_joint,20260922,23830,-0.018590139753569712
Fujairah,Shanghai,permute_joint,20260923,23899,-0.0031968456172277726
Fujairah,Shanghai,permute_joint,20260924,23797,-0.015654602913694693
Fujairah,Shanghai,permute_joint,20260925,23771,-0.022813300121491076
Fujairah,Shanghai,permute_joint,20260926,23848,-0.004905656303316741
Fujairah,Shanghai,permute_joint,20260927,23720,0.0032624224739314367
