fold,held_out_port,statistic,direction,threshold_selected_on_train,train_mean_ba_gain,signal_value,action,ba,acc,cross_ba,mean_ba,oracle_ba,delta_ba,regret_vs_oracle_ba,class_support
Rotterdam,Shanghai,stat_energy_dist,-1,1.704455,-0.002819095279289541,1.1819987704780637,mean,0.43434575505070716,0.3227206946454414,0.5213571318284888,0.43434575505070716,0.5213571318284888,-0.08701137677778159,0.08701137677778159,"{""container_ship"": 895, ""dredger"": 225, ""fishing_vessel"": 472, ""product_chemical_tanker"": 222, ""tug_towing"": 259}"
PortKlang,Shanghai,stat_energy_dist,-1,1.704455,-0.002819095279289541,4.736509568185362,cross,0.4377323791849767,0.5080037664783428,0.4377323791849767,0.27795240345771716,0.4377323791849767,-0.15977997572725955,0.0,"{""container_ship"": 895, ""dredger"": 225, ""fishing_vessel"": 472, ""passenger_ship"": 51, ""product_chemical_tanker"": 222, ""tug_towing"": 259}"
Fujairah,Shanghai,stat_energy_dist,-1,1.704455,-0.002819095279289541,2.824020511525582,cross,0.33648825383339154,0.35938253738543174,0.33648825383339154,0.2629189405700153,0.33648825383339154,-0.07356931326337623,0.0,"{""container_ship"": 895, ""dredger"": 225, ""fishing_vessel"": 472, ""product_chemical_tanker"": 222, ""tug_towing"": 259}"
JebelAli,Shanghai,stat_energy_dist,-1,1.704455,-0.002819095279289541,4.586160880285528,cross,0.49031133342278116,0.5166051660516605,0.49031133342278116,0.4299111510904902,0.49031133342278116,-0.06040018233229094,0.0,"{""container_ship"": 895, ""fishing_vessel"": 472, ""tug_towing"": 259}"
PortSaid,Shanghai,stat_energy_dist,-1,1.704455,-0.002819095279289541,2.5475799656621536,cross,0.34214328577769537,0.36034732272069464,0.34214328577769537,0.28253942967275036,0.34214328577769537,-0.05960385610494501,0.0,"{""container_ship"": 895, ""dredger"": 225, ""fishing_vessel"": 472, ""product_chemical_tanker"": 222, ""tug_towing"": 259}"
Rotterdam,Singapore,stat_energy_dist,-1,1.181999,-0.005438211048611349,1.2493182572056014,cross,0.5635145512350208,0.42528735632183906,0.5635145512350208,0.575332599657618,0.575332599657618,0.01181804842259715,0.01181804842259715,"{""container_ship"": 17, ""dredger"": 141, ""fishing_vessel"": 24, ""product_chemical_tanker"": 29, ""tug_towing"": 50}"
PortKlang,Singapore,stat_energy_dist,-1,1.181999,-0.005438211048611349,4.226469224477638,cross,0.691348129126926,0.4312977099236641,0.691348129126926,0.4377784970676948,0.691348129126926,-0.2535696320592312,0.0,"{""container_ship"": 17, ""dredger"": 141, ""fishing_vessel"": 24, ""passenger_ship"": 1, ""product_chemical_tanker"": 29, ""tug_towing"": 50}"
Fujairah,Singapore,stat_energy_dist,-1,1.181999,-0.005438211048611349,6.160867582990749,cross,0.6066072389337246,0.4482758620689655,0.6066072389337246,0.328976680620891,0.6066072389337246,-0.27763055831283356,0.0,"{""container_ship"": 17, ""dredger"": 141, ""fishing_vessel"": 24, ""product_chemical_tanker"": 29, ""tug_towing"": 50}"
PortSaid,Singapore,stat_energy_dist,-1,1.181999,-0.005438211048611349,5.209963328629234,cross,0.6909310344827586,0.5172413793103449,0.6909310344827586,0.46434641002402427,0.6909310344827586,-0.22658462445873434,0.0,"{""container_ship"": 17, ""dredger"": 141, ""fishing_vessel"": 24, ""product_chemical_tanker"": 29, ""tug_towing"": 50}"
Rotterdam,Jebel Ali,stat_entropy_before,1,0.904444,0.00078786989483981,0.6712876688707821,cross,0.6614156490275893,0.6217765042979942,0.6614156490275893,0.5808005427408414,0.6614156490275893,-0.08061510628674795,0.0,"{""container_ship"": 3, ""dredger"": 44, ""fishing_vessel"": 4, ""product_chemical_tanker"": 30, ""tug_towing"": 268}"
