fold,ref_port,adapt_port,n_ref,n_adapt,stat_shift_norm,stat_energy_dist,stat_entropy_before,stat_entropy_after,stat_delta_entropy,stat_conf_before,stat_conf_after,stat_delta_conf,delta_acc,delta_ba,cross_acc,mean_acc,cross_ba,mean_ba
Fujairah,Qingdao,Jebel Ali,2514,349,11.397839604075962,3.179793495228381,0.42911875915148495,0.1899509801147743,-0.23916777903671066,0.8370041252773348,0.937472220355139,0.10046809507780419,-0.03151862464183381,-0.11212121212121218,0.04871060171919771,0.017191977077363897,0.4454545454545455,0.3333333333333333
Fujairah,Qingdao,Shanghai,2514,2073,12.72905583360811,3.9391135826343024,0.33669740884663985,0.3437486043224761,0.007051195475836269,0.8778587947209909,0.8584190194847489,-0.019439775236242074,-0.07670043415340083,-0.0636598315008503,0.35600578871201155,0.2793053545586107,0.3014447759946292,0.2377849444937789
Fujairah,Qingdao,Singapore,2514,261,17.66609283647112,7.197121704557125,0.36485312919673907,0.2652749527759206,-0.09957817642081845,0.8798286078040235,0.912498096523452,0.03266948871942854,-0.36015325670498083,-0.41072242602103215,0.4674329501915709,0.10727969348659004,0.6354120811934459,0.2246896551724138
Fujairah,Shanghai,Jebel Ali,2073,349,4.65418237819681,0.9640734042955774,0.8410591083241743,0.8896626368857616,0.04860352856158734,0.669150141496484,0.6464933835389328,-0.022656757957551177,-0.06590257879656158,0.08514246947082771,0.28939828080229224,0.22349570200573066,0.34898236092265944,0.43412483039348715
Fujairah,Shanghai,Qingdao,2073,2514,10.269272553523743,3.914943032602258,0.7085542296267248,0.8950854475907427,0.18653121796401795,0.7303460065422784,0.6455326791911111,-0.08481332735116731,-0.08591885441527441,-0.10412612360255968,0.3623707239459029,0.2764518695306285,0.3579174172255954,0.2537912936230357
Fujairah,Shanghai,Singapore,2073,261,4.765803948306167,0.8386480476986442,0.8611935968273191,1.0650287906090046,0.20383519378168546,0.6592276380901008,0.5650316690926697,-0.0941959689974311,0.11877394636015326,0.07485484729475067,0.14559386973180077,0.26436781609195403,0.26465666853682046,0.33951151583157113
Fujairah,Singapore,Jebel Ali,261,349,8.418588210506359,2.2974512468989943,0.43123030851812966,0.48749204303833327,0.05626173452020361,0.8242251476946082,0.8029306247906344,-0.021294522903973823,-0.09455587392550141,-0.08996834011759386,0.3123209169054441,0.2177650429799427,0.39294436906377206,0.3029760289461782
Fujairah,Singapore,Qingdao,261,2514,15.301551636447094,7.18661918013003,0.5054967065136654,0.48017931697214455,-0.02531738954152085,0.8000057195433866,0.8196691209753046,0.019663401431918026,-0.6213206046141606,-0.15170482064647395,0.6686555290373906,0.04733492442322991,0.45846664157202727,0.3067618209255533
Fujairah,Singapore,Shanghai,261,2073,5.104206111151326,0.8354617785568585,0.5276338947377744,0.5120867734310913,-0.01554712130668312,0.7742724122327365,0.7796561459217747,0.005383733689038217,-0.04486251808972502,-0.019758617532407846,0.22479498311625662,0.1799324650265316,0.2521072759423294,0.23234865840992155
JebelAli,Qingdao,Shanghai,2412,1626,22.838939368222174,5.7665394391194535,0.1494010441287118,0.15476527639982354,0.005364232271111741,0.9447427569154545,0.9364914722779946,-0.008251284637459944,-0.07749077490774908,-0.0462598238803143,0.4944649446494465,0.41697416974169743,0.4549805889593788,0.4087207650790645
