mmsi,ais_rows,final_class,class_level,source,confidence,type_code,imo,vessel_kind,registry_type,flag,name,note
367579230,1033,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367580820,48,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,coarse_type_only
367581120,1884,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367581156,2,,unknown,needs_manual,none,,,ship,,,,absent_from_mapping
367581410,1,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,coarse_type_only
367582280,23,,unknown,needs_manual,none,37,,ship,,,,coarse_type_only
367582850,518,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367583000,17,,unknown,needs_manual,none,37,,ship,,,,coarse_type_only
367583130,1327,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,coarse_type_only
367583470,26,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367583480,1260,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367584390,2043,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367584490,728,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367584510,1137,,unknown,needs_manual,none,91,,ship,,,,type_outside_frozen_rules
367584550,173,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367585170,842,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367585310,125,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367585730,6,,unknown,needs_manual,none,90,1080270,ship,,,,coarse_type_only
367586320,13,fishing_vessel,fine,bundle_ais_type_code,high,30,,,,,,coarse_type_only
367586480,360,,unknown,needs_manual,none,99,,ship,,,,coarse_type_only
367586750,90,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367587420,308,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367587590,256,,unknown,needs_manual,none,51,,ship,,,,type_outside_frozen_rules
367587990,846,tug_towing,fine,bundle_ais_type_code,high,57,,,,,,type_outside_frozen_rules
367588030,16,sailing_vessel,fine,bundle_ais_type_code,high,36,,,,,,absent_from_mapping
367588290,1091,,unknown,needs_manual,none,56,,ship,,,,type_outside_frozen_rules
