product_id,port,track,relative_orbit,start_utc,stop_utc,footprint_min_lon,footprint_min_lat,footprint_max_lon,footprint_max_lat,ais_files,ais_rows,ais_mmsi_unique,fine_resolved,fine_resolved_from_fill,fine_resolved_coarse,fine_unresolved,fine_conflict,worldcover_need,worldcover_have,raster_polarizations,raster_local_complete,raster_remote_22559_complete,raster_action,detection_status,knowledge_ready,blockers
S1A_IW_GRDH_1SDV_20250414T092323_20250414T092352_058751_07471B_DBA9,Busan,,54,2025-04-14T09:23:23Z,2025-04-14T09:23:52Z,,,,,1,10357,1064,686,28,132,236,10,4,4,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250415T113410_20250415T113435_058767_0747BF_1003,Port Klang,,70,2025-04-15T11:34:10Z,2025-04-15T11:34:35Z,,,,,1,4605,449,368,0,47,33,1,4,4,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250415T190729_20250415T190754_058771_0747E9_CE61,Newcastle,,74,2025-04-15T19:07:29Z,2025-04-15T19:07:54Z,,,,,1,2413,242,146,26,13,83,0,3,3,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250417T020731_20250417T020756_058790_0748A7_6818,Fujairah,,93,2025-04-17T02:07:31Z,2025-04-17T02:07:56Z,,,,,1,5150,639,490,7,40,109,0,2,2,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250418T055840_20250418T055905_058807_074958_2BFC,Rotterdam,110_419,110,2025-04-18T05:58:40Z,2025-04-18T05:59:05Z,1.738991,51.003162,5.967532,52.909462,4,182616,6176,3281,43,1673,1031,191,4,4,VV;VH,True,False,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map
S1A_IW_GRDH_1SDV_20250418T105757_20250418T105822_058810_07497C_BD3F,New York,113_456,113,2025-04-18T10:57:57Z,2025-04-18T10:58:22Z,,,,,1,2945,410,343,6,19,48,0,2,2,VV;VH,False,True,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster_remote_only
S1A_IW_GRDH_1SDV_20250418T193335_20250418T193400_058815_0749B9_7FEC,Melbourne,,118,2025-04-18T19:33:35Z,2025-04-18T19:34:00Z,,,,,4,4080,121,101,5,5,7,8,4,4,VV;VH,True,False,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map
S1A_IW_GRDH_1SDV_20250419T142506_20250419T142531_058827_074A34_03DC,Jebel Ali,,130,2025-04-19T14:25:06Z,2025-04-19T14:25:31Z,,,,,1,11702,1332,986,4,86,260,0,2,2,VV;VH,True,False,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map
S1A_IW_GRDH_1SDV_20250420T015819_20250420T015848_058834_074A74_AE36,Los Angeles,,137,2025-04-20T01:58:19Z,2025-04-20T01:58:48Z,,,,,2,8118,423,382,3,5,36,0,3,3,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250420T054131_20250420T054156_058836_074A88_B1D7,Hamburg,,139,2025-04-20T05:41:31Z,2025-04-20T05:41:56Z,,,,,1,13981,1575,1141,24,90,323,21,4,4,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250420T163006_20250420T163031_058842_074ACD_73DF,Richards Bay,,145,2025-04-20T16:30:06Z,2025-04-20T16:30:31Z,,,,,1,285,50,44,0,5,1,0,1,1,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250421T153906_20250421T153935_058856_074B68_80A1,Mombasa,,159,2025-04-21T15:39:06Z,2025-04-21T15:39:35Z,,,,,3,5606,49,40,0,6,3,0,1,1,VV;VH,True,False,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map
S1A_IW_GRDH_1SDV_20250421T213201_20250421T213230_058860_074B91_9CF7,Port Hedland,,163,2025-04-21T21:32:01Z,2025-04-21T21:32:30Z,,,,,1,1017,96,79,0,12,5,0,4,4,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250422T035237_20250422T035302_058864_074BB7_3AD7,Port Said,,167,2025-04-22T03:52:37Z,2025-04-22T03:53:02Z,,,,,5,16443,288,245,0,24,18,1,2,2,VV;VH,True,False,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map
S1A_IW_GRDH_1SDV_20250422T095439_20250422T095504_058868_074BDE_FA37,Ningbo-Zhoushan,,171,2025-04-22T09:54:39Z,2025-04-22T09:55:04Z,,,,,3,147252,7850,3624,811,1438,2780,8,3,3,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250422T095504_20250422T095529_058868_074BDE_2A15,Shanghai,,171,2025-04-22T09:55:04Z,2025-04-22T09:55:29Z,,,,,6,634768,14667,3171,598,8032,3449,15,3,3,VV;VH,True,False,already_geocoded,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map
S1A_IW_GRDH_1SDV_20250422T095619_20250422T095644_058868_074BDE_EE82,Qingdao,,171,2025-04-22T09:56:19Z,2025-04-22T09:56:44Z,,,,,6,127521,6415,4258,2944,386,1769,2,4,4,VV;VH,True,False,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map
S1A_IW_GRDH_1SDV_20250423T110623_20250423T110652_058883_074C83_7063,New York,11_458,11,2025-04-23T11:06:23Z,2025-04-23T11:06:52Z,,,,,1,5640,549,447,13,32,70,0,2,2,VV;VH,False,True,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster_remote_only
S1A_IW_GRDH_1SDV_20250423T224811_20250423T224836_058890_074CC9_8953,Singapore,,18,2025-04-23T22:48:11Z,2025-04-23T22:48:36Z,,,,,4,121545,2613,2131,8,233,246,3,2,2,VV;VH,True,False,already_geocoded,pending_rasters,False,fine_class_unresolved;osm_facility_map
S1A_IW_GRDH_1SDV_20250423T233426_20250423T233451_058890_074CCE_0730,Callao,,18,2025-04-23T23:34:26Z,2025-04-23T23:34:51Z,,,,,1,2451,180,146,11,3,31,0,3,3,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250424T225100_20250424T225125_058905_074D60_3459,New York,,33,2025-04-24T22:51:00Z,2025-04-24T22:51:25Z,-75.11335,38.737522,-71.841675,40.635162,3,4191,262,213,35,25,24,0,5,5,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250424T225125_20250424T225150_058905_074D60_F2B6,New York,,33,2025-04-24T22:51:25Z,2025-04-24T22:51:50Z,,,,,2,6119,347,282,5,15,49,1,4,4,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250426T083111_20250426T083140_058925_074E33_CD35,Santos,53_669,53,2025-04-26T08:31:11Z,2025-04-26T08:31:40Z,,,,,1,582,201,165,1,26,10,0,3,3,VV;VH,False,True,already_geocoded,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster_remote_only
S1A_IW_GRDH_1SDV_20250426T092324_20250426T092353_058926_074E3C_C866,Busan,,54,2025-04-26T09:23:24Z,2025-04-26T09:23:53Z,,,,,1,14607,1462,971,82,147,333,11,4,4,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250427T113411_20250427T113436_058942_074EE8_90F7,Port Klang,,70,2025-04-27T11:34:11Z,2025-04-27T11:34:36Z,,,,,1,3932,491,411,2,50,29,1,4,4,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250429T020732_20250429T020757_058965_074FD5_4255,Fujairah,,93,2025-04-29T02:07:32Z,2025-04-29T02:07:57Z,,,,,1,5677,648,521,2,48,78,1,2,2,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250430T105814_20250430T105839_058985_07509E_80BB,New York,,113,2025-04-30T10:58:14Z,2025-04-30T10:58:39Z,,,,,2,4536,330,281,11,13,36,0,3,3,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;worldcover_tile_esa_unpublished;osm_facility_map;local_raster
S1A_IW_GRDH_1SDV_20250430T170921_20250430T170946_058989_0750CA_4464,Hamburg,,117,2025-04-30T17:09:21Z,2025-04-30T17:09:46Z,,,,,2,35643,1885,1349,31,123,392,21,4,4,VV;VH,False,False,redownload,pending_rasters,False,fine_class_unresolved;osm_facility_map;local_raster
