manifest,date,utm,epsg_raster,epsg_vector,tif_exists,n_points,inside_pct,time_match,sog_med,len_med,status
SAR_Ship_Chip_20220318_UTM04N_EPSG32604_10m.manifest.json,20220318,4,32604,32604,1,6,100.0,6/6,9.12,110.5,ok
SAR_Ship_Chip_20220318_UTM12N_EPSG32612_10m.manifest.json,20220318,12,32612,32612,1,1,100.0,1/1,12.31,250.0,ok
SAR_Ship_Chip_20220318_UTM18N_EPSG32618_10m.manifest.json,20220318,18,32618,32618,1,7,100.0,7/7,0.0,39.0,ok
SAR_Ship_Chip_20220318_UTM19N_EPSG32619_10m.manifest.json,20220318,19,32619,32619,1,95,100.0,95/95,2.63,92.0,ok
SAR_Ship_Chip_20220318_UTM20N_EPSG32620_10m.manifest.json,20220318,20,32620,32620,1,6,100.0,6/6,7.33,98.0,ok
SAR_Ship_Chip_20220319_UTM10N_EPSG32610_10m.manifest.json,20220319,10,32610,32610,1,346,100.0,346/346,0.0,138.0,ok
SAR_Ship_Chip_20220321_UTM18N_EPSG32618_10m.manifest.json,20220321,18,32618,32618,1,136,100.0,136/136,0.0,195.0,ok
SAR_Ship_Chip_20220322_UTM10N_EPSG32610_10m.manifest.json,20220322,10,32610,32610,1,86,100.0,86/86,0.0,183.0,ok
SAR_Ship_Chip_20220322_UTM16N_EPSG32616_10m.manifest.json,20220322,16,32616,32616,1,8,100.0,8/8,0.04,94.0,ok
SAR_Ship_Chip_20220322_UTM17N_EPSG32617_10m.manifest.json,20220322,17,32617,32617,1,25,100.0,25/25,10.69,183.0,ok
SAR_Ship_Chip_20220323_UTM04N_EPSG32604_10m.manifest.json,20220323,4,32604,32604,1,20,100.0,20/20,0.0,65.5,ok
SAR_Ship_Chip_20220323_UTM18N_EPSG32618_10m.manifest.json,20220323,18,32618,32618,1,163,100.0,163/163,0.0,68.0,ok
SAR_Ship_Chip_20220323_UTM19N_EPSG32619_10m.manifest.json,20220323,19,32619,32619,1,7,100.0,7/7,12.34,160.0,ok
SAR_Ship_Chip_20220323_UTM20N_EPSG32620_10m.manifest.json,20220323,20,32620,32620,1,60,100.0,60/60,0.12,63.5,ok
SAR_Ship_Chip_20220319_UTM11N_EPSG32611_10m.manifest.json,20220319,11,32611,32611,1,116,100.0,116/116,0.03,199.0,ok
SAR_Ship_Chip_20220319_UTM14N_EPSG32614_10m.manifest.json,20220319,14,32614,32614,1,11,100.0,11/11,0.0,199.0,ok
SAR_Ship_Chip_20220319_UTM15N_EPSG32615_10m.manifest.json,20220319,15,32615,32615,1,486,100.0,486/486,0.0,179.5,ok
SAR_Ship_Chip_20220319_UTM17N_EPSG32617_10m.manifest.json,20220319,17,32617,32617,1,35,100.0,35/35,15.7,213.0,ok
SAR_Ship_Chip_20220320_UTM17N_EPSG32617_10m.manifest.json,20220320,17,32617,32617,1,22,100.0,22/22,12.8,181.5,ok
SAR_Ship_Chip_20220321_UTM11N_EPSG32611_10m.manifest.json,20220321,11,32611,32611,1,24,100.0,24/24,0.4,194.0,ok
SAR_Ship_Chip_20220321_UTM15N_EPSG32615_10m.manifest.json,20220321,15,32615,32615,1,3,100.0,3/3,0.0,304.0,ok
SAR_Ship_Chip_20220321_UTM17N_EPSG32617_10m.manifest.json,20220321,17,32617,32617,1,16,100.0,16/16,0.0,43.0,ok
SAR_Ship_Chip_20220324_UTM10N_EPSG32610_10m.manifest.json,20220324,10,32610,32610,1,199,100.0,199/199,0.0,182.0,ok
SAR_Ship_Chip_20220324_UTM15N_EPSG32615_10m.manifest.json,20220324,15,32615,32615,1,217,100.0,217/217,0.0,180.0,ok
SAR_Ship_Chip_20220324_UTM16N_EPSG32616_10m.manifest.json,20220324,16,32616,32616,1,2,100.0,2/2,0.0,213.0,ok
SAR_Ship_Chip_20220324_UTM17N_EPSG32617_10m.manifest.json,20220324,17,32617,32617,1,321,100.0,321/321,0.0,55.0,ok
SAR_Ship_Chip_20220325_UTM04N_EPSG32604_10m.manifest.json,20220325,4,32604,32604,1,2,100.0,2/2,8.89,132.0,ok
SAR_Ship_Chip_20220325_UTM19N_EPSG32619_10m.manifest.json,20220325,19,32619,32619,1,49,100.0,49/49,0.18,70.0,ok
SAR_Ship_Chip_20220325_UTM20N_EPSG32620_10m.manifest.json,20220325,20,32620,32620,1,45,100.0,45/45,0.1,68.0,ok
SAR_Ship_Chip_20220326_UTM11N_EPSG32611_10m.manifest.json,20220326,11,32611,32611,1,87,100.0,87/87,0.0,228.0,ok
SAR_Ship_Chip_20220326_UTM15N_EPSG32615_10m.manifest.json,20220326,15,32615,32615,1,99,100.0,99/99,0.1,56.0,ok
SAR_Ship_Chip_20220326_UTM17N_EPSG32617_10m.manifest.json,20220326,17,32617,32617,1,57,100.0,57/57,0.34,180.0,ok
SAR_Ship_Chip_20220326_UTM18N_EPSG32618_10m.manifest.json,20220326,18,32618,32618,1,1,100.0,1/1,17.01,285.0,ok
SAR_Ship_Chip_20220327_UTM15N_EPSG32615_10m.manifest.json,20220327,15,32615,32615,1,5,100.0,5/5,0.0,68.0,ok
SAR_Ship_Chip_20220327_UTM16N_EPSG32616_10m.manifest.json,20220327,16,32616,32616,1,77,100.0,77/77,0.0,97.0,ok
SAR_Ship_Chip_20220327_UTM17N_EPSG32617_10m.manifest.json,20220327,17,32617,32617,1,5,100.0,5/5,13.6,229.0,ok
SAR_Ship_Chip_20220328_UTM04N_EPSG32604_10m.manifest.json,20220328,4,32604,32604,1,3,100.0,3/3,7.9,36.0,ok
SAR_Ship_Chip_20220328_UTM18N_EPSG32618_10m.manifest.json,20220328,18,32618,32618,1,135,100.0,135/135,0.1,186.0,ok
SAR_Ship_Chip_20220328_UTM19N_EPSG32619_10m.manifest.json,20220328,19,32619,32619,1,21,100.0,21/21,11.5,141.0,ok
SAR_Ship_Chip_20220329_UTM10N_EPSG32610_10m.manifest.json,20220329,10,32610,32610,1,102,100.0,102/102,0.09,183.0,ok
SAR_Ship_Chip_20220329_UTM14N_EPSG32614_10m.manifest.json,20220329,14,32614,32614,1,62,100.0,62/62,0.0,139.0,ok
SAR_Ship_Chip_20220329_UTM16N_EPSG32616_10m.manifest.json,20220329,16,32616,32616,1,26,100.0,26/26,0.0,206.0,ok
SAR_Ship_Chip_20220329_UTM17N_EPSG32617_10m.manifest.json,20220329,17,32617,32617,1,63,100.0,63/63,0.0,139.0,ok
SAR_Ship_Chip_20220329_UTM18N_EPSG32618_10m.manifest.json,20220329,18,32618,32618,1,31,100.0,31/31,0.0,53.0,ok
SAR_Ship_Chip_20220330_UTM04N_EPSG32604_10m.manifest.json,20220330,4,32604,32604,1,2,100.0,2/2,3.0,37.0,ok
SAR_Ship_Chip_20220330_UTM05N_EPSG32605_10m.manifest.json,20220330,5,32605,32605,1,1,100.0,1/1,14.11,145.0,ok
SAR_Ship_Chip_20220401_UTM17N_EPSG32617_10m.manifest.json,20220401,17,32617,32617,1,4,100.0,4/4,15.35,261.0,ok
SAR_Ship_Chip_20220401_UTM19N_EPSG32619_10m.manifest.json,20220401,19,32619,32619,1,6,100.0,6/6,5.52,47.5,ok
SAR_Ship_Chip_20220402_UTM11N_EPSG32611_10m.manifest.json,20220402,11,32611,32611,1,27,100.0,27/27,0.0,170.0,ok
SAR_Ship_Chip_20220402_UTM15N_EPSG32615_10m.manifest.json,20220402,15,32615,32615,1,4,100.0,4/4,0.0,186.0,ok
SAR_Ship_Chip_20220402_UTM16N_EPSG32616_10m.manifest.json,20220402,16,32616,32616,1,353,100.0,353/353,0.09,97.0,ok
SAR_Ship_Chip_20220402_UTM19N_EPSG32619_10m.manifest.json,20220402,19,32619,32619,1,2,100.0,2/2,14.75,222.0,ok
SAR_Ship_Chip_20220403_UTM10N_EPSG32610_10m.manifest.json,20220403,10,32610,32610,1,329,100.0,329/329,0.0,100.0,ok
SAR_Ship_Chip_20220403_UTM16N_EPSG32616_10m.manifest.json,20220403,16,32616,32616,1,7,100.0,7/7,0.6,99.0,ok
SAR_Ship_Chip_20220330_UTM18N_EPSG32618_10m.manifest.json,20220330,18,32618,32618,1,9,100.0,9/9,0.0,39.0,ok
SAR_Ship_Chip_20220330_UTM19N_EPSG32619_10m.manifest.json,20220330,19,32619,32619,1,73,100.0,73/73,0.5,70.0,ok
SAR_Ship_Chip_20220330_UTM20N_EPSG32620_10m.manifest.json,20220330,20,32620,32620,1,12,100.0,12/12,7.63,110.5,ok
SAR_Ship_Chip_20220331_UTM10N_EPSG32610_10m.manifest.json,20220331,10,32610,32610,1,8,100.0,8/8,11.6,224.5,ok
SAR_Ship_Chip_20220331_UTM11N_EPSG32611_10m.manifest.json,20220331,11,32611,32611,1,119,100.0,119/119,0.0,199.0,ok
SAR_Ship_Chip_20220331_UTM14N_EPSG32614_10m.manifest.json,20220331,14,32614,32614,1,8,100.0,8/8,0.61,190.5,ok
SAR_Ship_Chip_20220331_UTM15N_EPSG32615_10m.manifest.json,20220331,15,32615,32615,1,435,100.0,435/435,0.0,178.0,ok
SAR_Ship_Chip_20220331_UTM17N_EPSG32617_10m.manifest.json,20220331,17,32617,32617,1,248,100.0,248/248,0.0,144.0,ok
SAR_Ship_Chip_20220408_UTM15N_EPSG32615_10m.manifest.json,20220408,15,32615,32615,1,6,100.0,6/6,4.23,145.0,ok
SAR_Ship_Chip_20220408_UTM16N_EPSG32616_10m.manifest.json,20220408,16,32616,32616,1,56,100.0,56/56,0.0,135.5,ok
