port,class,class_name,n,ridge_V,ridge_VK,gbm_zk,gate_old,gate_new,gate_new_theta,oracle3
Port Hedland,0,bulk_carrier,783,0.20434227330779056,0.23754789272030652,0.7484035759897829,0.7203065134099617,0.7458492975734355,0.6845466155810983,0.7777777777777778
Port Hedland,2,general_cargo,21,0.23809523809523808,0.2857142857142857,0.23809523809523808,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.42857142857142855
Port Hedland,3,product_chem_tanker,11,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.36363636363636365
Port Hedland,5,crude_oil_tanker,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Port Hedland,6,tug_towing,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Port Hedland,7,offshore_supply,21,0.23809523809523808,0.14285714285714285,0.0,0.047619047619047616,0.0,0.0,0.23809523809523808
Port Klang,0,bulk_carrier,882,0.481859410430839,0.6938775510204082,0.971655328798186,0.9580498866213152,0.971655328798186,0.971655328798186,0.9795918367346939
Port Klang,1,fishing_vessel,57,0.5087719298245614,0.49122807017543857,0.6491228070175439,0.6491228070175439,0.6842105263157895,0.6842105263157895,0.8070175438596491
Port Klang,2,general_cargo,394,0.24873096446700507,0.23604060913705585,0.1116751269035533,0.15228426395939088,0.15228426395939088,0.11928934010152284,0.3680203045685279
Port Klang,3,product_chem_tanker,895,0.16089385474860335,0.07486033519553073,0.2,0.10502793296089385,0.13854748603351955,0.1452513966480447,0.29832402234636873
Port Klang,4,container_ship,651,0.522273425499232,0.48847926267281105,0.28417818740399386,0.402457757296467,0.2857142857142857,0.2980030721966206,0.5806451612903226
Port Klang,5,crude_oil_tanker,273,0.6776556776556777,0.5494505494505495,0.32967032967032966,0.4725274725274725,0.3333333333333333,0.34065934065934067,0.7142857142857143
Port Klang,6,tug_towing,197,0.05583756345177665,0.025380710659898477,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.06091370558375635
Port Klang,7,offshore_supply,76,0.21052631578947367,0.35526315789473684,0.0,0.21052631578947367,0.0,0.013157894736842105,0.35526315789473684
Port Said,0,bulk_carrier,564,0.45567375886524825,0.5053191489361702,0.7340425531914894,0.7198581560283688,0.7340425531914894,0.7322695035460993,0.824468085106383
Port Said,1,fishing_vessel,4,0.5,0.25,0.25,0.25,0.25,0.25,0.5
Port Said,2,general_cargo,485,0.5360824742268041,0.44536082474226807,0.41649484536082476,0.4350515463917526,0.6,0.4577319587628866,0.6783505154639176
Port Said,3,product_chem_tanker,463,0.19438444924406048,0.2159827213822894,0.7645788336933045,0.712742980561555,0.5421166306695464,0.42764578833693306,0.7775377969762419
Port Said,4,container_ship,94,0.3191489361702128,0.43617021276595747,0.2872340425531915,0.2872340425531915,0.26595744680851063,0.3404255319148936,0.5106382978723404
Port Said,5,crude_oil_tanker,213,0.596244131455399,0.3568075117370892,0.18309859154929578,0.27699530516431925,0.215962441314554,0.25821596244131456,0.6056338028169014
Port Said,6,tug_towing,21,0.0,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.19047619047619047
Port Said,7,offshore_supply,51,0.1568627450980392,0.0784313725490196,0.0,0.0,0.0,0.0196078431372549,0.1568627450980392
Qingdao,0,bulk_carrier,695,0.7093525179856115,0.8028776978417266,0.9856115107913669,0.9841726618705036,0.981294964028777,0.9841726618705036,0.9899280575539569
Qingdao,1,fishing_vessel,1017,0.9262536873156342,0.8751229105211407,0.856440511307768,0.8898721730580138,0.8249754178957719,0.8269419862340216,0.9488692232055064
Qingdao,2,general_cargo,269,0.620817843866171,0.6468401486988847,0.9702602230483272,0.9516728624535316,0.9776951672862454,0.9702602230483272,0.9814126394052045
Richards Bay,0,bulk_carrier,526,0.27756653992395436,0.3916349809885932,0.9106463878326996,0.8992395437262357,0.7338403041825095,0.6634980988593155,0.9182509505703422
Richards Bay,1,fishing_vessel,5,0.8,0.8,1.0,1.0,1.0,1.0,1.0
Richards Bay,2,general_cargo,52,0.25,0.2692307692307692,0.1346153846153846,0.1346153846153846,0.3076923076923077,0.25,0.40384615384615385
Richards Bay,3,product_chem_tanker,64,0.171875,0.171875,0.390625,0.375,0.265625,0.265625,0.421875
Richards Bay,4,container_ship,64,0.8125,0.8125,0.765625,0.84375,0.8125,0.78125,0.890625
Richards Bay,5,crude_oil_tanker,10,0.4,0.5,0.3,0.4,0.3,0.3,0.5
Richards Bay,6,tug_towing,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richards Bay,7,offshore_supply,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotterdam,0,bulk_carrier,148,0.5337837837837838,0.6959459459459459,0.9864864864864865,0.972972972972973,0.9864864864864865,0.9864864864864865,0.9864864864864865
Rotterdam,1,fishing_vessel,131,0.8778625954198473,0.8854961832061069,0.9694656488549618,0.9694656488549618,0.9770992366412213,0.9694656488549618,0.9770992366412213
Rotterdam,2,general_cargo,294,0.3299319727891156,0.5204081632653061,0.6156462585034014,0.6020408163265306,0.7210884353741497,0.7040816326530612,0.7210884353741497
Santos,0,bulk_carrier,901,0.39622641509433965,0.5982241953385128,0.9223085460599334,0.881243063263041,0.8912319644839067,0.8934517203107658,0.9422863485016648
Santos,1,fishing_vessel,10,0.9,0.8,0.8,0.8,0.8,0.8,0.9
Santos,2,general_cargo,90,0.08888888888888889,0.14444444444444443,0.044444444444444446,0.06666666666666667,0.08888888888888889,0.08888888888888889,0.18888888888888888
Santos,3,product_chem_tanker,191,0.3193717277486911,0.2513089005235602,0.24607329842931938,0.19895287958115182,0.18324607329842932,0.2198952879581152,0.4816753926701571
Santos,4,container_ship,197,0.7918781725888325,0.7918781725888325,0.4365482233502538,0.5431472081218274,0.4467005076142132,0.4517766497461929,0.8071065989847716
Santos,5,crude_oil_tanker,56,0.42857142857142855,0.5357142857142857,0.23214285714285715,0.30357142857142855,0.21428571428571427,0.23214285714285715,0.5714285714285714
Santos,6,tug_towing,188,0.031914893617021274,0.015957446808510637,0.0,0.010638297872340425,0.0,0.0,0.0425531914893617
Santos,7,offshore_supply,25,0.16,0.08,0.0,0.04,0.0,0.0,0.16
