domain,payoff,rank_quality,n,sd,iqr,skew,q90q10,top10_share,base,pool
Port Klang,0.13537215895333393,0.515228438269933,3425,0.2902070879936218,0.2926858067512512,1.9696857929229736,0.6218801736831665,0.2,0.3583186427333961,sar24
Port Said,0.0538306760507285,0.5216282519936728,1895,0.24438966810703278,0.2590346038341522,2.06787109375,0.5410529971122742,0.2,0.3447995618824705,sar24
Qingdao,0.25760920681601907,0.950872390174266,1981,0.5594666600227356,0.920837938785553,0.5620699524879456,1.4836277961730957,0.19989904088844018,0.7521413497224723,sar24
Richards Bay,0.06636287169452038,0.4356078665052411,744,0.31864216923713684,0.3199695348739624,2.15924072265625,0.7132816314697266,0.1989247311827957,0.3389926924904943,sar24
Rotterdam,0.0587853558459871,0.611263170527959,573,0.43006137013435364,0.5376670360565186,1.437354326248169,1.0491080284118652,0.19895287958115182,0.5805261173309156,sar24
Santos,0.048650251173658676,0.5370709379344478,1658,0.33776775002479553,0.3393884003162384,1.964464545249939,0.7553910613059998,0.19963811821471653,0.38960644081365026,sar24
Shanghai,0.0089382353123868,0.8827364096401767,2390,0.534674346446991,0.8843206763267517,0.7195796370506287,1.3942605257034302,0.2,0.605282148352135,sar24
Singapore,0.13159675562004303,0.4442114340254135,5259,0.27356502413749695,0.314556360244751,1.7248419523239136,0.6211209893226624,0.1998478798250618,0.35993540936041357,sar24
Sydney Botany,0.0785301874814418,0.5596757345342147,304,0.3303530216217041,0.3529992699623108,1.9696221351623535,0.7093091607093811,0.19736842105263158,0.4180652524167562,sar24
Tanger Med,0.09454151770217811,0.4578812819649859,1266,0.23463863134384155,0.2558465301990509,2.0994293689727783,0.5232235789299011,0.19984202211690363,0.38738110456224895,sar24
pub_shanghai,0.040090554929109956,0.7222402048746541,191,3.181347131729126,1.0625053644180298,8.957338333129883,1.9781771898269653,0.19895287958115182,0.6908450704225352,os1
pub_shenzhen,0.13575345363271063,0.7160342734737989,156,0.8812288641929626,1.075044870376587,1.3856580257415771,1.9225499629974365,0.1987179487179487,0.6182539682539683,os1
pub_tianjin,0.04723825821083916,0.5718520016681394,1047,1.666250228881836,0.9660785794258118,10.979387283325195,1.7753095626831055,0.19961795606494748,0.6231252176061638,os1
pri_port01,0.08622410515069345,0.698296712768569,143,0.8588987588882446,1.2879536151885986,0.8369541168212891,2.1352453231811523,0.1958041958041958,0.5305050505050505,pri7
pri_port02,0.16159391534391543,0.7088854449698441,55,1.6848063468933105,1.4973680973052979,2.569129705429077,2.7684264183044434,0.2,0.6263157894736842,pri7
pri_port03,-0.006261988713614053,0.6985476879935608,139,1.237958550453186,1.2065038681030273,3.955282211303711,2.329897880554199,0.19424460431654678,0.571880650994575,pri7
pri_port04,0.05521269415425756,0.6345249753767541,184,0.8689365983009338,1.2353885173797607,0.8602039813995361,2.2139835357666016,0.1956521739130435,0.544484076174217,pri7
pri_port05,0.12814849118647326,0.6017244880215409,231,2.086195945739746,1.8724924325942993,3.7818756103515625,3.7904133796691895,0.19913419913419914,0.43752130197682343,pri7
pri_port06,0.0856150793650794,0.42341792894256014,52,1.2477607727050781,1.003974199295044,2.6885364055633545,2.0196361541748047,0.19230769230769232,0.5078042328042328,pri7
pri_port07,0.09183094903158473,0.7346912292153647,488,0.9989452362060547,1.1533780097961426,2.4503800868988037,2.1587181091308594,0.1987704918032787,0.5815437286025521,pri7
0,0.20380416500991294,0.7401686994193987,530,1.3417872190475464,1.5485289096832275,2.746511220932007,2.8817086219787598,0.2,0.6030773420479303,os2
1,0.2077111369189465,0.7348420566351497,452,1.2215899229049683,1.4909194707870483,1.6078262329101562,2.8328301906585693,0.19911504424778761,0.5957717900936667,os2
2,0.09964405606682925,0.7239941507955956,541,1.1242247819900513,1.478130578994751,1.4028066396713257,2.653059720993042,0.19963031423290203,0.600346225684479,os2
3,0.11884295624270258,0.7292717933154071,500,1.2810745239257812,1.537375807762146,1.7666187286376953,2.7611305713653564,0.2,0.5879727820998587,os2
4,0.10921802687253968,0.6627446989100909,446,3.0923991203308105,1.4387764930725098,16.766407012939453,2.7835981845855713,0.19955156950672645,0.5736804268537999,os2
clean,-0.010378653844131058,0.6339079173028064,1797,0.5207806825637817,0.6447858214378357,1.479805827140808,1.2675124406814575,0.19977740678909292,0.5246906352715015,digits
rot15,0.06168843661147738,0.749612072555968,1797,0.452045738697052,0.5433435440063477,1.7396492958068848,0.9955410361289978,0.19977740678909292,0.6174121515147932,digits
